name;type;description;imagePath;image_source;description_source
Céleri-branche;Légume; Sa saveur marquée et sa texture croquante le rendent tout aussi délicieux cru que cuit. Par petites touches ou en ingrédient vedette, le céleri-branche se prépare et s’accommode avec facilité, tout en vous permettant de faire le plein de vitalité. Alors, prêt ? Croquez !;celeri_branche.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/celeri-branche
Céleri-rave;Légume;Ce légume rustique s’est développé et a imposé sa présence sur les étals grâce à sa chair savoureuse, croquante quand elle est crue, fondante après cuisson. Ce beau céleri tout en rondeur est très concentré en vitamines et minéraux essentiels, tout en étant très peu énergétique. Invitez-le régulièrement dans vos assiettes pour savourer tous les bienfaits de sa chair délicate.;celeri_rave.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/celeri-rave
Cerise;Fruit;"Sucrée ou acidulée, elle peut se consommer au choix crue ou cuite. Certes, elle est un peu plus calorique que les autres fruits. Mais elle possède des qualités nutritionnelles dont il serait dommage de se priver !
";cerise.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-noyaux/cerise
Châtaigne;Fruit;"Plusieurs centaines de variétés peuplent aujourd’hui les forêts françaises. Délicieuse et généreuse, la châtaigne participe à votre bien-être grâce à sa richesse en nutriments et minéraux essentiels.
";chataigne.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-coque/chataigne
Chou cabus;Légume;"À chaque région de France sa spécialité à base de chou. Longtemps associé à des plats roboratifs, le chou retrouve aujourd’hui toute sa place dans des préparations légères et raffinées.
";chou_cabus.jpg;Anto at fr.wikipedia.org;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/chou-pomme
Chou de Bruxelles;Légume;Notamment grâce à des saveurs moins amères et plus sucrées, davantage adaptées aux goûts actuels. Les jeunes chefs l’ont bien compris : le chou de Bruxelles n’est plus exclusivement le symbole d’une nourriture rustique traditionnelle mais peut jouer la carte de la modernité en s’accomodant de mille façons.;chou_de_bruxelles.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/choux-de-bruxelles
Chou frisé;Légume;Frisé et non pommé, le kale est la variété de chou la plus proche du chou sauvage.;chou_frise.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/chou-kale
Chou romanesco;Légume;Contrairement à ce qu'on pourrait penser, le chou romanesco n'est pas une création moderne issue de laboratoire, mais une variété ancienne originaire d'Italie, d'où cette consonance.;chou_romanesco.jpg;;https://jardinage.lemonde.fr/dossier-692-chou-romanesco-brassica-oleracea-var-botrytis-brocoli-pomme.html
Chou rouge;Légume;"Peu calorique et très résistant, le chou rouge a plus d'un atout sous ses feuilles ! Source de vitamines et de fibres, le chou rouge se consomme aussi bien cru que cuit.
";chou_rouge.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/chou-rouge
Chou-fleur;Légume;Cru ou cuit, il se prête à de multiples recettes et présente de sérieuses qualités nutritionnelles. Vous pouvez donc en manger sans compter !;chou_fleur.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/choux/chou-fleur
Ciboulette;Plante aromatique;La ciboulette, appelée aussi civette, appétit, fausse échalote, est une plante vivace, avec des bulbilles, aux nombreuses feuilles cylindriques, creuses et effilées, qui forment une touffe.;ciboulette.jpg;;https://jardinage.lemonde.fr/dossier-181-ciboulette-allium-schoenoprasum-fines-herbes.html#:~:text=La%20ciboulette%20(Allium%20schoenoprasum)%2C,en%20Sib%C3%A9rie%20ou%20Europe%20centrale.
Citron;Fruit;Le citron occupe une place de choix dans nos cuisines. On l'aime pour sa chair juteuse, sa saveur qui oscille entre acide et amère, et sa belle couleur jaune doré.;citron.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/agrume/citron-citron-vert
Citron vert;Fruit;Plein de caractère, le citron vert est un fruit tropical. Festif et convivial, il possède un arôme caractéristique qui dynamise vos plats et cocktails. En prime, ce fruit regorge d’atouts pour votre bien-être.;citron_vert.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/agrume/citron-citron-vert
Citrouille;Légume;La citrouille se développe sous forme d’une grande plante rampante annuelle. Les tiges, épaisses et non lignifiée s’allongent rapidement en une saison, de parfois de plus de 5 m, avec quelques ramifications.;citrouille.jpg;;https://www.aujardin.info/plantes/cucurbita-pepo-ssp-pepo.php
Clémentine;Fruit;"Sa saveur douce et sa richesse en vitamines font de ce fruit hivernal un atout vitalité. Dégustée telle quelle ou travaillée en version sucrée ou salée, la clémentine met de l’énergie dans les assiettes !
";clementine.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/agrume/clementine-mandarine
Coing;Fruit;"Doté d’une chair très ferme et d’arômes très riches, il est consommé uniquement cuit. Le coing est reconnu pour ses qualités nutritionnelles et sa faible teneur en sucres. Voilà un fruit incontournable pour les amoureux de compotes raffinées et des confitures du matin !
";coing.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-pepins/coing
Concombre;Légume;Chaque année, il remporte un vif succès. En France, nous en consommons environ 1,8 kilos par an et par personne. Cru ou cuit, apprenez à varier les plaisirs !;concombre.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-fruits/concombre
Coriandre;Plante aromatique;La coriandre est une plante qui vient d'Afrique du Nord et d'Orient où elle est utilisée depuis l'Antiquité. Cette plante qui ressemble au persil, contient des graines riches en silice, en taurins, en vitamine C et en acide linoléique.;coriandre.jpg;;https://sante.journaldesfemmes.fr/fiches-nutrition/2554814-coriandre-bienfaits-effets-secondaires-sante/
Cornichon;Légume;Le cornichon, petit, ferme et croquant, est un condiment indispensable et ce, à toutes les saisons. De la famille de Cucurbitacées comme le concombre et toutes les courges, il se cultive simplement au potager.;cornichon.jpg;;https://www.futura-sciences.com/planete/definitions/botanique-cornichon-19390/
Courge butternut;Légume;La Butternut est une courge plutôt petite ou de taille moyenne. On la reconnait facilement à sa forme de poire. Sa peau est lisse et de couleur crème à dorée. Sa chair est dorée ou orangée, sans graines et au goût tout doux de beurre.;butternut.jpg;;https://www.potagercity.fr/produits/tout-savoir-sur-la-courge-butternut/963
Courge musquée;Légume;"La courge musquée de Provence fait partie de l'espèce Cucurbita moschata parmi celles qui composent la grande famille des Cucurbitacées. Elles font partie des courges ""coureuses"" ou rampantes, qui forment de longues tiges qui ont tôt fait d'envahir les cultures voisines si vous n'intervenez pas.
";courge_musquee.jpg;Spedona at fr.wikipedia.org;https://jardinage.lemonde.fr/dossier-1001-courge-musquee-provence-cucurbita-moschata-muscade.html
Courge spaghetti;Légume;La courge Spaghetti doit son nom à la particularité de sa chair qui est constituée de filaments qui se rapproche de la forme des spaghettis. Elle mesure entre 20 et 35 centimètre en moyenne et sa peau est orange très souvent avec des rayures plus foncées.;courge_spaghetti.jpg;Derek Ramsey (Ram-Man) at  fr.wikipedia.org;https://www.potagercity.fr/produits/tout-savoir-sur-la-courge-spaghetti/1129
Courgette;Légume;Ce légume du soleil qui fleure bon la Méditerranée est présent dans les assiettes tout l’été. Facile à préparer, la courgette se consomme sous toutes ses formes. Et sa richesse en vitamines vous donne de l’énergie à la belle saison.;courgette.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/courges/courgette
Cresson;Légume;Sa production, très délicate, explique encore la faible superficie d’exploitation. Présente toute l’année sur les étals, cette exquise petite salade accompagne et sublime vos recettes salées. Et pour ne rien gâcher, le cresson est riche en vitamines et minéraux ! ;cresson.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/salades/cresson
Échalote;Légume;Sa culture est principalement située dans l’ouest de la France et en Bretagne. Présente sur les étals toute l’année, l’échalote dynamise toutes vos recettes au quotidien, tout en vous prodiguant ses bienfaits.;echalote.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/echalote
Endive;Légume;Croquant cru et fondant cuit, ce délicieux légume issu de l’amélioration d’une chicorée sauvage est typique du nord de la France. Elle est appelée chicon en Belgique et dans le nord de la France, et endive ailleurs.;endive.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/salades/endive
Épinard;Légume;Reconnu pour ses qualités nutritionnelles et ses bienfaits énergétiques, il entre dans la composition de plats savoureux. Aliment bien-être, il vaut le coup d’être découvert ou redécouvert pour sa saveur !;epinard.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/epinard
Estragon;Plante aromatique;On l’appelle aussi herbe dragon, absinthe estragon, ou encore armoise potagère. Ce sont ses longues et fines feuilles vertes qui diffusent ce parfum si puissant, mi-menthe, mi-anis. Il se pare en été de petites fleurs jaunes-vertes.;estragon.jpg;;https://estragon.be/tout-savoir-sur-estragon/
Fenouil;Légume;Référence symbolique et mythologique depuis l’Antiquité, c’est avant tout un aliment particulièrement intéressant sur le plan nutritionnel. On le retrouve avec plaisir dans des plats salés, mais aussi dans les desserts sucrés.                                      ;fenouil.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/fenouil
Fève;Légume;Elle se croque crue ou bien cuite. Grâce à sa facilité de conservation sèche, elle fut pendant longtemps un aliment de réserve essentiel face aux pénuries alimentaires.        ;feve.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-feuilles/feve
Figue;Fruit;Oscillant entre saveurs douces et acidulées, sa chair est onctueuse et rafraîchissante. Grâce à sa modeste teneur en sucre et à la qualité de ses apports nutritionnels, la figue participe à un régime alimentaire diversifié.;figue.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-sauvages/figue
Fraise;Fruit;Elles redonnent des couleurs à nos assiettes, émoustillent nos papilles… et surtout nous apportent une bonne dose de vitamines et d’antioxydants. Peu caloriques, elles peuvent même se consommer sans modération. Il ne vous reste plus qu’à trouver la variété la plus à votre goût…;fraise.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/fraise
Fraise des bois;Fruit;La fraise des bois, fraise commune, ou fraise sauvage, est un petit fruit très parfumé. La partie comestible est un réceptacle charnu. Il existe des variétés de fraises des bois, comme la ‘Mara des bois’, à fruits de légèrement plus gros calibre. C’est un fruit riche en vitamines B et C, ainsi qu’en calcium, fer, magnésium et potassium. On la consomme aussi bien crue que cuite, en pâtisseries, ou alors en confitures.;fraise_des_bois.jpg;;https://tous-les-fruits.com/fraise-des-bois/
Framboise;Fruit;"La framboise se déguste nature ou cuisinée, mais reste fragile. Ce petit fruit rouge présente un apport calorique modéré : avec elle, alliez plaisir en bouche et bien-être !
";framboise.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/framboise
Framboise jaune;Fruit;"Côté saveur, la framboise jaune est plus sucrée et moins acide que la framboise rose, elle est aussi plus fondante. Par contre son parfum est moins prononcé, associez les 2 variétés, jaune et rose, dans vos desserts afin de profiter du sucrée de l’une et du parfum de l’autre !
";framboise_jaune.jpg;;https://www.gammvert.fr/conseils/conseils-de-jardinage/le-framboisier-jaune-fallgold
Groseille;Fruit;Prenez une grappe bien rouge, croquez-en les grains et laissez leur saveur acidulée exploser en bouche ! Idéal pour les apéritifs et les desserts estivaux, ce fruit ajoute aussi sa note vitaminée à vos petits plats. Alors prenez prétexte des excellents apports nutritionnels de la groseille pour vous faire plaisir !;groseille.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/groseille
Haricot vert;Légume;"Présenté en fagot, en salade ou en purée, il est bien plus qu’un accompagnement passe-partout. Colorées, croquantes ou fondantes, les différentes variétés allient plaisir et arguments nutritionnels.
";haricot.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/haricots-pois-legumes-secs-graines-germees/haricot-vert
Kiwi;Fruit;En France, il est cultivé dans trois régions, dont l’une détient même un Label Rouge !;kiwi.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-de-plantes-grimpantes/kiwi
Laitue Batavia;Légume;Elle est craquante et tendre, dotée d'une grosse pomme vert clair ou vert jaune, gaufrée, avec les bords découpés, au goût légèrement sucré. Certaines variétés sont parfois rougeâtres. Il convient de la choisir avec une base bien blanche, signe de fraîcheur.;laitue_batavia.jpg;;https://fr.wikipedia.org/wiki/Laitue_batavia
Laitue romaine;Légume;Allongées et rigides, les feuilles qui peuvent atteindre 20 à 30 cm portent une grosse nervure centrale, leur donnant une forme un peu en cuillère. D’ailleurs, certains aiment la manger feuille à feuille en trempant le bout dans une sauce à la crème fraiche pour en attraper l’équivalent d’une petite cuillerée.;laitue_romaine.jpg;;https://jardinage.lemonde.fr/dossier-1297-laitue-romaine.html
Laurier;Plante aromatique;Ses feuilles sont utilisées en cuisine pour leur arôme. Cet arbuste est aussi très cultivé pour l'ornementation, notamment pour l'art topiaire;laurier.jpg;;https://www.techno-science.net/glossaire-definition/Laurier-sauce.html
Lentille;Légume;"Bien adaptées aux sols pauvres, les nombreuses variétés se déclinent en plusieurs couleurs. Servie en entrée, en soupe ou en accompagnement, la lentille vous aide à garder la forme grâce à ses qualités nutritionnelles.
";lentilles.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/haricots-pois-legumes-secs-graines-germees/lentille
Mâche;Légume;"Ces rosettes de feuilles rondes, d’un beau vert foncé et brillant, sont charnues et croquantes. Originaire du bassin méditerranéen, la mâche fait figure de salade hivernale de référence sur les étals, même si elle se consomme tout au long de l’année. Son goût subtil et raffiné vous régale lorsqu’elle est crue, en salade, mais aussi cuite, en velouté et en accompagnement.
";mache.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/salades/mache
Maïs;Légume;Le maïs est cultivé partout dans le monde. La plante de maïs possède une tige simple, composée de nœuds et d'entre-nœuds.;mais.jpg;;https://plantvillage.psu.edu/topics/corn-maize-fr/infos
Mandarine;Fruit;La mandarine est légèrement plus grosse que la clémentine et contient beaucoup de pépins.;mandarine.jpg;;https://agriculture.gouv.fr/clementine-mandarine-quelles-differences#:~:text=Cl%C3%A9mentine%2C%20mandarine%20quelle%20diff%C3%A9rence%20%3F,en%20plus%20sur%20les%20march%C3%A9s.
Melon;Fruit;Rond et savoureux, il fait partie des fruits et légumes d’été préférés des Français. Il se consomme aujourd’hui surtout comme un fruit, mais agrémente également des préparations salées.;melon.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-fruits/melon
Menthe;Plante aromatique;La menthe est une plante pleine d’ardeur, d’une couleur éclatante, vert vif à vert gris argenté, qui propose, selon les variétés, une gamme étendue de parfums, d’arômes et de saveurs intenses et rafraîchissantes.;menthe.jpg;;https://www.jardiniers-professionnels.fr/la-menthe-culture-entretien-et-vertus/
Mirabelle;Fruit;La production de la mirabelle est labellisée et garantit aujourd’hui la qualité et la saveur du petit fruit doré. Disponible sur les étals dès la mi-août, elle se prête à toutes sortes de déclinaisons salées et sucrées, toujours gourmandes.;mirabelle.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-noyaux/mirabelle
Mûre;Fruit;Fruit gourmand par excellence, la mûre est également cultivée. Plus douce et plus sucrée, la mûre de culture offre, elle aussi, tout un panel de saveurs. Le petit fruit à la belle robe sombre est une habituée de la cuisine. Elle est aussi une alliée incontournable de votre bien-être.;mure.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/mure
Myrtille;Fruit;Fruit d’une plante sauvage peu à peu cultivée, la myrtille évoque les confitures d’antan mais offre aussi, par ses saveurs fraîches, florales et boisées, un large éventail de possibilités culinaires.;myrtille.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/petits-fruits-et-fruits-rouges/myrtille
Navet;Légume;"Originaire d’Europe de l’Est, cette racine gorgée d’eau n’est pas aussi fade que sa réputation le laisse entendre. Au contraire, son goût caractéristique donne une touche indispensable à de nombreuses spécialités régionales comme à des plats très raffinés. Ses qualités nutritionnelles en font un compagnon de votre bien-être, apprécié de l’automne au printemps.
";navet.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/navet
Nectarine;Fruit;La nectarine est issue d’une mutation naturelle du pêcher. On différencie le brugnon de la nectarine grâce à son noyau qui adhère à la pulpe et à sa chair plus molle et fragile.;nectarine.jpg;;https://www.potagercity.fr/produits/tout-savoir-sur-la-nectarine/73
Noix;Fruit;Ce fruit est aussi délicieux à croquer qu’intégré à toutes vos recettes, salées et sucrées, auxquelles il apporte une touche goûteuse et croquante.;noix.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-coque/noix
Oignon;Légume;S’invitant dans un nombre impressionnant de préparations, il se prête avec autant de réussite aux plats les plus rustiques (flamiche, gratinée…) qu’aux mets les plus sophistiqués (foie gras poêlé, magret de canard…). Ce bulbe, organe de réserves nutritives pour la plante et sa fleur, présente aussi des qualités nutritionnelles qui vous invitent à conjuguer bien-être et plaisir de la table.;oignon.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/oignon
Orange;Fruit;Son goût sucré légèrement acidulé excite les papilles. Consommée quotidiennement, elle apporte les vitamines nécessaires pour lutter contre le froid et la fatigue. Un concentré d’énergie et de bien-être à croquer et à boire !;orange.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/agrume/orange
Orange sanguine;Fruit;L'orange sanguine est une variété d'orange douce dont la couleur de pulpe va du rouge sang au rouge sombre;orange_sanguine.jpg;;https://fr.wikipedia.org/wiki/Orange_sanguine#:~:text=L'orange%20sanguine%2C%20ou%20sanguine,d'anthocyanines%20dans%20le%20fruit.
Origan;Plante aromatique;L’origan commun est une plante aromatique indigène facile à cultiver. Ses inflorescences séchées sont l’une des « fines herbes »;origan.jpg;;https://www.aujardin.info/plantes/origan-commun.php
Oseille;Fruit;Presque impertinente, elle prend le palais à rebrousse-papilles avec son goût frais, pétillant et acidulé. Laissez-vous surprendre !;oseille.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/aromatiques-fraiches/oseille
Panais;Légume;"Il renferme de très nombreux minéraux et vitamines. On peut le consommer cru comme cuit.
";panais.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/panais
Pastèque;Fruit;Sa chair sucrée et parfumée est disponible sur les étals français toute l’année. Ce fruit est délicieux nature, gratiné ou assaisonné. Sa richesse en vitamines combinée à sa légèreté en font un fruit idéal au quotidien, qui vous apportera tonus et vitalité !;pasteque.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-fruits/pasteque
Pâtisson;Légume;Cucurbitacée dont le fruit, à l'écorce jaune pâle, à la pulpe assez sèche, au goût proche de celui de l'artichaut a une forme semi-sphérique qui rappelle celle d'un pâté;patisson.jpg;Rameshng at fr.wikipedia.org;https://www.cnrtl.fr/definition/p%C3%A2tisson#:~:text=%E2%88%92%20BOT.,rappelle%20celle%20d'un%20p%C3%A2t%C3%A9.
Pêche;Fruit;Sucrée et très désaltérante, elle fait le régal des gourmands à la belle saison. Elle se consomme nature mais se marie également à de savoureux plats et desserts.;peche.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-noyaux/peche-nectarine
Persil;Plante aromatique;" À la fois condiment et garniture, il apporte sa fraîcheur et ses parfums à de très nombreuses préparations.
";persil.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/aromatiques-fraiches/persil
Petits-pois;Légume;Traditionnellement consommé sec, il a vu les techniques de production évoluer et se décline aujourd’hui en d’innombrables variétés aux qualités diverses. Ses qualités nutritionnelles originales en font un aliment de plaisir et de bien-être.;petits_pois.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/haricots-pois-legumes-secs-graines-germees/petit-pois
Piment;Légume;"Le terme ""piment"" désigne indistinctement la plante, la gousse, les graines, les épices et les condiments qui sont tirés de ce fruit.";piment.jpg;;https://www.supertoinette.com/fiche-cuisine/181/piment.html
Poire;Fruit;Disponible toute l’année, elle se décline en une dizaine de variétés qui se répartissent entre l’été et la saison d’automne-hiver. Peu calorique, elle renferme de nombreux nutriments et des fibres. Dégustez-la à la croque ou dévoilez toute sa douceur dans de nombreux desserts ou dans des recettes salées. Adoptez-la, elle ne vous veut que du bien !;poire.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-pepins/poire
Poireau;Légume;Légume résistant, il entre dans la composition de nombreux plats grâce à son parfum si particulier et à sa saveur aillée. Originaire du Moyen-Orient, il a traversé les siècles pour être aujourd’hui le neuvième légume le plus consommé par les Français.;poireau.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/poireau
Poivron;Légume;Légume-fruit comme la tomate, il s’intègre facilement dans toutes les recettes gorgées de soleil… Peu calorique, il est également apprécié pour ses vitamines.;poivron.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-fruits/poivron
Pomelo;Fruit;Grâce à sa texture juteuse et gourmande, il a très vite conquis les États-Unis puis l’Europe. Cultivé sous les climats chauds, le pomelo est encore récolté de façon traditionnelle, à la main. Présent tout l’hiver et au printemps, cet agrume dynamise le quotidien grâce à sa richesse en vitamines et minéraux, et sa saveur généreuse.;pomelo.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/agrume/pomelo
Pomme;Fruit;Ses techniques de production se sont perfectionnées au cours des siècles, offrant un large éventail de variétés et de saveurs. La pomme rythme tous les moments de la journée, croquée au naturel ou cuisinée pour des mets sucrés ou salés.;pomme.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-pepins/pomme
Pomme de terre;Légume;La culture de la pomme de terre recouvre une quantité de variétés exceptionnelle. Vous trouverez sur les étals près de 320 variétés dont une vingtaine prédominantes.;pomme_de_terre.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/legumes-racines-tubercules-et-tiges/pomme-de-terre
Potimarron;Légume;Courge originaire de Chine, voisine du potiron. Sa forme et son goût lui ont valu le surnom de courge châtaigne.;potimarron.jpg;INRA DIST from France — POTIMARONS-1-INRA-cliche Jean Weber;https://fr.wiktionary.org/wiki/potimarron
Potiron;Légume;Très présent dans les jardins d’antan, il redevient populaire depuis plusieurs années. Ses couleurs, sa forme et ses saveurs se marient à merveille avec tous les plats, traditionnels ou audacieux. Les enfants l’adorent.;potiron.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/courges/potiron
Prune;Fruit;Relativement peu calorique, elle peut se consommer sans problème à tout moment de la journée. Les plus gourmands peuvent même la cuisiner : quoi de meilleur qu’une tarte aux prunes ou un clafoutis ? N’hésitez pas : vous ferez le plein de vitamines et de minéraux et votre digestion s’en portera mieux. ;prune.jpg;;https://www.lesfruitsetlegumesfrais.com/fruits-legumes/fruits-a-noyaux/prune
